gender,course,year,internet_access,class_type,weather,absence_reason,sleep_time
male,pharmacy,1st year,no,offline,sunny,none,Moyen
male,b.sc,3rd year,yes,online,rainy,none,Court
female,pharmacy,1st year,yes,online,sunny,project work,Long
male,b.tech,4th year,yes,offline,hot,none,Long
female,b.tech,1st year,yes,offline,cloudy,none,Court
male,b.com,1st year,yes,online,sunny,none,Long
male,bca,1st year,yes,online,cloudy,none,Long
female,bba,3rd year,yes,offline,rainy,no reason,Court
male,ba,2nd year,no,offline,sunny,no reason,Long
female,bba,4th year,yes,offline,cold,none,Moyen
female,bca,1st year,yes,offline,sunny,none,Long
male,b.tech,2nd year,yes,offline,hot,none,Moyen
male,b.sc,3rd year,no,online,cold,travel,Court
male,nursing,2nd year,yes,offline,sunny,none,Moyen
female,b.sc,4th year,no,offline,cloudy,none,Long
male,b.tech,4th year,yes,offline,rainy,sick,Moyen
female,ba,3rd year,yes,offline,sunny,none,Long
male,bba,3rd year,yes,online,cloudy,none,Long
female,nursing,2nd year,yes,offline,cold,travel,Moyen
male,diploma,3rd year,yes,offline,cloudy,none,Long
male,ba,4th year,yes,offline,hot,none,Long
male,diploma,1st year,yes,online,cloudy,none,Court
male,bba,1st year,no,offline,rainy,none,Moyen
female,b.com,2nd year,yes,offline,hot,none,Court
male,b.com,3rd year,yes,offline,cold,none,Moyen
female,bba,1st year,yes,offline,sunny,festival,Court
female,bba,2nd year,no,offline,hot,none,Moyen
female,b.com,3rd year,yes,offline,cloudy,none,Court
male,diploma,3rd year,yes,offline,sunny,travel,Court
female,b.tech,3rd year,yes,offline,rainy,sick,Court
male,nursing,3rd year,no,offline,sunny,none,Court
male,nursing,1st year,yes,offline,sunny,no reason,Court
male,b.com,1st year,yes,offline,hot,festival,Court
male,ba,1st year,yes,offline,cold,none,Court
female,b.com,1st year,yes,offline,rainy,festival,Court
male,nursing,1st year,yes,offline,rainy,none,Long
male,diploma,2nd year,yes,online,sunny,none,Long
male,b.com,4th year,yes,offline,cold,none,Court
male,b.com,4th year,yes,offline,hot,none,Court
male,b.sc,1st year,yes,offline,cloudy,none,Court
male,b.sc,3rd year,yes,offline,hot,project work,Court
male,diploma,2nd year,no,online,cold,none,Long
female,b.com,4th year,yes,offline,cold,none,Court
