id,age,gender,course,year,parent_education,weather,study_hours,sleep_hours,travel_time_minutes,attendance,absence_reason
0,17,male,pharmacy,1st year,high school,sunny,3.63,7.24,31,1,none
2,22,male,b.sc,3rd year,no formal,rainy,5.43,6.53,62,1,none
4,20,female,pharmacy,1st year,no formal,sunny,1.77,9.35,81,0,project work
5,23,male,b.tech,4th year,no formal,hot,4.8,9.36,38,1,none
6,17,female,b.tech,1st year,phd,cloudy,4.8,4.96,74,1,none
7,22,male,b.com,1st year,no formal,sunny,3.47,9.03,30,1,none
9,17,male,bca,1st year,phd,cloudy,3.52,8.53,40,1,none
10,21,female,bba,3rd year,no formal,rainy,4.95,6.74,44,0,no reason
11,24,male,ba,2nd year,post graduate,sunny,0.12,8.66,48,0,no reason
12,22,female,bba,4th year,high school,cold,1.27,8.27,64,1,none
13,23,female,bca,1st year,high school,sunny,5.09,8.62,14,1,none
14,22,male,b.tech,2nd year,graduate,hot,1.41,8.29,70,1,none
16,21,male,b.sc,3rd year,post graduate,cold,4.31,6.74,77,0,travel
17,18,male,nursing,2nd year,post graduate,sunny,4.65,7.87,84,1,none
18,23,female,b.sc,4th year,no formal,cloudy,2.4,9.15,20,1,none
19,20,male,b.tech,4th year,no formal,rainy,4.33,8.36,88,0,sick
20,21,female,ba,3rd year,post graduate,sunny,3.43,8.62,22,1,none
22,18,male,bba,3rd year,no formal,cloudy,2.5,9.69,28,1,none
23,24,female,nursing,2nd year,graduate,cold,3.66,8.15,82,0,travel
24,23,male,diploma,3rd year,high school,cloudy,5.1,8.98,67,1,none
25,22,male,ba,4th year,phd,hot,1.44,9.43,57,1,none
26,20,male,diploma,1st year,phd,cloudy,0.78,4.5,5,1,none
27,23,male,bba,1st year,no formal,rainy,5.21,7.35,7,1,none
28,21,female,b.com,2nd year,post graduate,hot,5.71,6.39,53,1,none
31,18,male,b.com,3rd year,post graduate,cold,4.45,7.27,45,0,none
33,21,female,bba,1st year,graduate,sunny,0.15,4.36,62,0,festival
34,24,female,bba,2nd year,no formal,hot,5.65,7.34,87,1,none
36,23,female,b.com,3rd year,post graduate,cloudy,0.47,6.03,27,1,none
37,23,male,diploma,3rd year,graduate,sunny,5.17,5.83,71,0,travel
38,19,female,b.tech,3rd year,no formal,rainy,4.77,4.19,67,0,sick
41,23,male,nursing,3rd year,no formal,sunny,5.3,6.02,37,1,none
43,19,male,nursing,1st year,phd,sunny,0.37,6.74,27,0,no reason
45,24,male,b.com,1st year,graduate,hot,0.25,5.19,22,0,festival
46,20,male,ba,1st year,no formal,cold,3.84,5.02,33,1,none
48,22,female,b.com,1st year,post graduate,rainy,3.02,5.09,23,0,festival
49,23,male,nursing,1st year,high school,rainy,5.5,9.37,73,1,none
50,23,male,diploma,2nd year,high school,sunny,4.46,9.85,44,1,none
51,18,male,b.com,4th year,no formal,cold,2.16,6.69,39,1,none
52,19,male,b.com,4th year,post graduate,hot,5.41,6.1,77,1,none
54,20,male,b.sc,1st year,high school,cloudy,2.28,5.63,53,1,none
55,17,male,b.sc,3rd year,high school,hot,5.64,5.36,18,0,project work
58,22,male,diploma,2nd year,post graduate,cold,5.62,9.51,85,1,none
59,22,female,b.com,4th year,post graduate,cold,5.61,6.51,15,1,none
60,24,female,nursing,1st year,post graduate,cloudy,0.94,9.17,38,0,none
61,22,female,b.sc,4th year,no formal,rainy,4.91,8.65,28,0,none
62,19,male,pharmacy,2nd year,graduate,hot,2.24,8.5,8,1,none
67,19,male,b.com,2nd year,phd,hot,3.46,9.94,50,1,none
68,17,female,diploma,1st year,post graduate,cold,5.64,4.14,27,1,none
70,23,female,bca,4th year,graduate,cold,1.06,6.14,77,0,project work
72,20,female,b.com,3rd year,post graduate,cold,5.33,9.8,65,0,no reason
75,20,female,ba,2nd year,high school,sunny,0.29,5.18,43,1,none
77,18,female,b.sc,2nd year,high school,sunny,3.42,6.76,18,0,no reason
78,21,male,b.sc,4th year,high school,cloudy,5.07,7.72,26,1,none
79,22,female,b.com,4th year,phd,sunny,3.89,5.08,80,0,project work
81,20,male,nursing,3rd year,no formal,hot,5.51,9.8,48,0,project work
82,18,male,ba,4th year,graduate,cloudy,0.3,5.48,29,0,travel
83,23,female,b.tech,3rd year,high school,cold,0.85,5.96,41,0,festival
84,22,female,bca,2nd year,phd,cold,1.4,5.97,44,0,travel
85,22,female,pharmacy,1st year,graduate,cloudy,0.06,5.63,64,0,none
86,17,female,pharmacy,1st year,post graduate,sunny,2.67,9.62,9,1,none
87,19,female,b.tech,1st year,no formal,cold,2.35,4.29,71,0,none
88,23,male,nursing,4th year,post graduate,hot,0.83,5.54,75,0,sick
89,23,male,ba,1st year,graduate,cold,0.34,4.34,7,1,none
91,23,female,bca,4th year,no formal,cloudy,2.72,4.55,51,0,travel
93,20,female,nursing,1st year,phd,cold,0.86,9.71,64,0,personal work
94,24,male,pharmacy,4th year,high school,cloudy,4.45,4.83,58,1,none
95,19,female,b.sc,4th year,high school,cloudy,1.01,7.32,15,0,no reason
98,22,male,pharmacy,3rd year,no formal,rainy,0.69,4.65,66,0,no reason
100,23,female,b.sc,4th year,phd,hot,2.98,5.62,80,0,sick
101,18,male,b.com,3rd year,high school,sunny,2.89,8.3,15,1,none
102,23,female,pharmacy,4th year,no formal,sunny,2.82,6.12,7,1,none
103,17,male,bca,4th year,high school,sunny,1.44,4.94,63,0,project work
104,23,male,b.com,1st year,post graduate,cold,2.25,5.28,55,1,none
107,22,female,b.tech,4th year,phd,cloudy,5.93,5.7,12,1,none
110,19,female,ba,3rd year,post graduate,hot,5.88,6.19,16,1,none
111,23,male,b.tech,2nd year,graduate,cold,5.83,9.26,86,1,none
112,21,female,bca,2nd year,no formal,cold,5.45,6.55,85,1,none
113,20,male,pharmacy,4th year,graduate,hot,3.77,4.97,54,0,travel
115,21,female,pharmacy,3rd year,graduate,rainy,2.22,5.56,23,0,project work
118,18,female,bca,2nd year,phd,cold,0.62,6.98,55,1,none
122,22,male,b.sc,2nd year,no formal,sunny,5.6,6.1,50,1,none
123,20,female,b.tech,4th year,phd,rainy,3.55,6.05,24,1,none
126,17,female,nursing,3rd year,graduate,cold,2.04,6.86,17,1,none
127,23,male,b.tech,2nd year,graduate,rainy,1.98,4.24,79,0,festival
128,21,male,diploma,4th year,no formal,hot,1.68,4.83,38,0,sick
129,22,female,bba,3rd year,post graduate,rainy,0.92,5.11,8,1,none
130,21,female,bca,4th year,graduate,cold,0.97,8.43,14,1,none
132,17,male,ba,2nd year,graduate,sunny,4.19,4.97,33,1,none
133,21,female,bba,2nd year,graduate,cold,0.13,6.9,10,0,sick
134,23,male,bba,3rd year,phd,cold,2.14,8.37,60,0,none
136,21,male,diploma,1st year,no formal,sunny,3.52,4.35,20,1,none
137,17,male,bba,1st year,no formal,sunny,4.12,6.19,36,1,none
138,19,male,ba,3rd year,post graduate,cold,4.35,9.83,61,1,none
139,20,male,b.tech,2nd year,no formal,cold,3.33,9.36,45,1,none
140,24,female,nursing,3rd year,post graduate,cold,1.9,4.47,53,1,none
141,18,female,b.com,1st year,post graduate,hot,5.64,6.54,61,1,none
142,19,female,ba,3rd year,post graduate,sunny,1.77,7.77,32,0,personal work
144,24,female,nursing,4th year,graduate,cloudy,3.93,5.09,32,0,project work
145,23,male,ba,1st year,phd,sunny,3.84,6.02,73,0,personal work
146,17,female,bba,1st year,phd,hot,3.15,7.53,77,0,sick
